CNT_d_nm,CNT_l_nm,CNT_wt_pct,CNT_vol_frac,Al_particle_size_um,Al_wt_pct,ISS_MPa,Sinter_T_K,Porosity_pct,sigma_y_MPa,Hardness_GPa,sigma_UTS_MPa
20.0,612.592592592593,0.584307178631052,0.0075,13.40631734871248,99.415692821369,90.0,903.1,2.2564102564102564,131.298211061874,0.561,220.0
20.0,631.111111111111,0.779510022271715,0.01,11.507099970241326,99.2204899777283,90.0,903.1,2.115384615384615,142.926651258971,0.6107,235.0
20.0,285.6945584856387,0.779510022271715,0.01,2.0,99.2204899777283,87.69,873.1,2.423076923076923,116.165916555164,0.4964,191.0
20.0,600.3310222903464,0.779510022271715,0.01,2.0,99.2204899777283,134.81307692307692,873.1,1.6666666666666667,206.787495438511,0.8836,340.0
20.0,1720.0,0.389321468298109,0.005,12.859254272797015,99.6106785317019,80.0,903.1,2.217948717948718,133.571575031489,0.5708,228.0
20.0,4441.05263157895,0.779510022271715,0.01,7.909016490020116,99.2204899777283,47.5,903.1,1.7692307692307692,185.500547378664,0.7926,305.0
13.2,1060.81904761905,1.17056856187291,0.015,5.9909781618129765,98.8294314381271,84.0,900.1,1.5128205128205128,232.697840589333,0.9943,368.0
13.2,442.72380952381,1.17056856187291,0.015,9.606380887984411,98.8294314381271,84.0,900.1,1.9487179487179485,158.082772139492,0.6755,250.0
20.0,3106.61417322835,0.389321468298109,0.005,13.221424775595771,99.6106785317019,63.5,903.1,2.2435897435897436,131.81405430739,0.5632,225.0
20.0,210.96918967071088,1.17056856187291,0.015,19.23630540330548,98.8294314381271,68.44807692307693,903.1,2.58974358974359,98.0113187264852,0.4188,155.0
20.0,266.153846153846,0.584307178631052,0.0075,23.36463412548467,99.415692821369,65.0,823.1,2.769230769230769,84.747027139937,0.3621,142.0
20.0,197.777777777778,1.17056856187291,0.015,17.698409528056605,98.8294314381271,75.0,797.7666666666667,2.5128205128205128,107.496285054855,0.4593,170.0
20.0,731.111111111111,1.17056856187291,0.015,10.73518912666042,98.8294314381271,75.0,822.4333333333334,2.051282051282051,145.436150368333,0.6215,230.0
20.0,3157.93103448276,0.779510022271715,0.01,4.383236449927019,99.2204899777283,58.0,865.4333333333334,1.2243589743589742,263.0,1.1238,298.0
20.0,866.560846560846,0.389321468298109,0.005,4.004901664343976,99.6106785317019,189.0,869.7666666666667,1.141025641025641,268.31483054571,1.1465,458.0
20.0,798.0158175982322,3.1390134529148,0.04,2.991822853055909,96.8609865470852,152.87692307692308,883.7666666666667,0.8717948717948718,317.109726275933,1.355,402.0
20.0,100.0,0.389321468298109,0.005,5.667255434601474,99.6106785317019,200.0,853.1,1.4615384615384615,237.265297753303,1.0138,405.0
20.0,160.350877192983,2.3489932885906,0.03,5.142261132147174,97.6510067114094,142.5,857.7666666666667,1.3717948717948718,247.631352282515,1.0581,345.0
20.0,100.0,2.3489932885906,0.03,5.001400723275822,97.6510067114094,174.2,859.1,1.3461538461538463,249.78466838932,1.0673,348.0
20.0,662.8103710639374,2.3489932885906,0.03,4.538088823131116,97.6510067114094,188.7,863.7666666666667,1.2564102564102564,262.345679012346,1.121,365.5
20.0,353.333333333333,2.3489932885906,0.03,8.131767546813027,97.6510067114094,85.0,835.7666666666667,1.7948717948717947,183.031869078381,0.7821,255.0
